SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
S1050;Phravenia viereckii;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Phravenia;viereckii;BrassiWood/Kasper Hendriks;77114376-1;8074535;NORTHERN AMERICA;S. Texas to NE. Mexico (to Puebla);annual;desert or dry shrubland;H;NA;NA;NA;Y
S1052;Paysonia lescurii;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Paysonia;lescurii;BrassiWood/Kasper Hendriks;1098982-2;3044413;NORTHERN AMERICA;Kentucky to Alabama;annual;temperate;H;NA;NA;NA;Y
S1053;Streptanthus maculatus;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Streptanthus;maculatus;BrassiWood/Kasper Hendriks;298980-2;3041546;NORTHERN AMERICA;Oklahoma to Arkansas and Texas;annual;temperate;H;NA;NA;NA;Y
S1069;Heliophila macra;Brassicaceae;Brassicoideae;Heliophilodae (V);Heliophileae;Heliophila;macra;BrassiWood/Kasper Hendriks;284703-1;5374385;AFRICA;SW. Cape Prov.;NA;subtropical;W;NA;NA;NA;NA
S1072;Hesperidanthus argillaceus;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Hesperidanthus;argillaceus;BrassiWood/Kasper Hendriks;60440667-2;3047777;NORTHERN AMERICA;Utah;perennial;temperate;H;NA;NA;NA;NA
S1074;Ricotia sinuata;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Ricotia;sinuata;BrassiWood/Kasper Hendriks;288598-1;3040550;ASIA-TEMPERATE;S. Türkiye to Syria;annual;subtropical;H;NA;NA;NA;NA
S1077;Ricotia aucheri;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Ricotia;aucheri;BrassiWood/Kasper Hendriks;288588-1;3040559;ASIA-TEMPERATE;E. Türkiye to Transcaucasus;perennial;temperate;H;NA;NA;NA;NA
S1083;Arabis kennedyae;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Arabis;kennedyae;BrassiWood/Kasper Hendriks;278332-1;5375066;ASIA-TEMPERATE;W. Cyprus;annual or biennial;temperate;H;NA;NA;NA;NA
S1089;Mathewsia foliosa;Brassicaceae;Brassicoideae;Heliophilodae (V);Schizopetaleae;Mathewsia;foliosa;BrassiWood/Kasper Hendriks;286837-1;5377656;SOUTHERN AMERICA;N. & C. Chile;subshrub;subtropical;H;NA;NA;NA;Y
S1093;Aimara rollinsii;Brassicaceae;Brassicoideae;Heliophilodae (V);Cremolobeae;Aimara;rollinsii;BrassiWood/Kasper Hendriks;77136045-1;10873249;SOUTHERN AMERICA;Chile (Antofagasta);subshrub;subalpine or subarctic;W;NA;NA;NA;Y
