SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
S1509;Mutarda arvensis;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Mutarda;arvensis;BrassiWood/Kasper Hendriks;288569-1;3042984;EUROPE;Temp. Eurasia, N. Africa to Arabian Pen.;annual;temperate;H;NA;NA;NA;Y
S1519;Hormathophylla reverchonii;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Hormathophylla;reverchonii;BrassiWood/Kasper Hendriks;285371-1;3050678;EUROPE;SE. Spain (Sierra de Carzola area);subshrub;temperate;W;NA;NA;NA;Y
S1539;Litwinowia tenuissima;Brassicaceae;Brassicoideae;Hesperodae (III);Chorisporeae;Litwinowia;tenuissima;BrassiWood/Kasper Hendriks;286614-1;3040955;EUROPE;S. European Russia to SW. Siberia and Pakistan;annual;temperate;H;NA;NA;NA;Y
S1541;Ornithocarpa fimbriata;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Ornithocarpa;fimbriata;BrassiWood/Kasper Hendriks;176490-2;3041455;NORTHERN AMERICA;Mexico (Jalisco, Michoac√°n);NA;subtropical;H;NA;NA;NA;Y
S1561;Lepidium arbuscula;Brassicaceae;Brassicoideae;Camelinodae (I);Lepidieae;Lepidium;arbuscula;BrassiWood/Kasper Hendriks;286044-1;5376908;PACIFIC;Hawaiian Is. (Oahu);subshrub or shrub;seasonally dry tropical;W;NA;NA;NA;NA
S1579;Notothlaspi rosulatum;Brassicaceae;Brassicoideae;Heliophilodae (V);Notothlaspideae;Notothlaspi;rosulatum;BrassiWood/Kasper Hendriks;287824-1;3043187;AUSTRALASIA;New Zealand South I.;biennial;temperate;H;NA;NA;NA;Y
SRR11470309;Sisymbrium irio;Brassicaceae;Brassicoideae;Brassicodae (II);Sisymbrieae;Sisymbrium;irio;BrassiToL/Luke Nikolov;237940-2;3046851;EUROPE;Europe to N. China and Himalaya, Sahara to N. & NE. Trop. Africa, Arabian Pen.;annual;temperate;H;NA;NA;Brede raket;NA
SRR11470320;Arabis alpina;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Arabis;alpina;BrassiToL/Luke Nikolov;277992-1;5375020;EUROPE;N. & C. Europe to WC. Siberia, N. & E. Canada to Greenland;subshrub;temperate;H;ornamental, scientific;alpine rockcress;Alpenscheefkelk;Y
SRR6441723;Sinalliaria limprichtiana;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Sinalliaria;limprichtiana;BrassiToL/Luke Nikolov;77143913-1;11084852;ASIA-TEMPERATE;China (SE. Anhui, Zhejiang);annual or perennial;temperate;H;NA;NA;NA;Y
SRR8528336;Peltaria alliacea;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Peltaria;alliacea;BrassiToL/Luke Nikolov;288039-1;3052632;EUROPE;E. Austria to Romania;subshrub;temperate;H;crop;Garlic cress;Knoflookmosterd;Y
SRR8528338;Heldreichia bupleurifolia;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Heldreichia;bupleurifolia;BrassiToL/Luke Nikolov;284577-1;3041503;ASIA-TEMPERATE;C. & S. Türkiye to Israel;perennial or rhizomatous geophyte;temperate;H;NA;NA;NA;Y
SRR8528339;Dontostemon integrifolius;Brassicaceae;Brassicoideae;Hesperodae (III);Dontostemoneae;Dontostemon;integrifolius;BrassiToL/Luke Nikolov;1126736-2;3052600;ASIA-TEMPERATE;S. Siberia to China;annual or biennial;temperate;H;NA;NA;NA;Y
SRR8528341;Fourraea alpina;Brassicaceae;Brassicoideae;Brassicodae (II);Fourraeeae;Fourraea;alpina;BrassiToL/Luke Nikolov;290898-1;5376286;EUROPE;C. & S. Europe;perennial;temperate;H;NA;NA;NA;Y
SRR8528342;Geococcus pusillus;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Geococcus;pusillus;BrassiToL/Luke Nikolov;284489-1;5376079;AUSTRALASIA;S. & SE. Australia to Tasmania (King I.);annual;desert or dry shrubland;H;NA;NA;NA;Y
SRR8528343;Crucihimalaya himalaica;Brassicaceae;Brassicoideae;Camelinodae (I);Crucihimalayeae;Crucihimalaya;himalaica;BrassiToL/Luke Nikolov;1009835-1;3041702;ASIA-TEMPERATE;Afghanistan to China (Sichuan, Yunnan);annual, biennial or perennial;temperate;H;NA;NA;NA;Y
SRR8528347;Neotorularia torulosa;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Neotorularia;torulosa;BrassiToL/Luke Nikolov;943551-1;3047352;EUROPE;SE. Spain, SE. Krym, N. Africa to Xinjiang and Arabian Pen.;annual;temperate;H;NA;NA;NA;Y
SRR8528350;Murbeckiella pinnatifida;Brassicaceae;Brassicoideae;Camelinodae (I);Oreophytoneae;Murbeckiella;pinnatifida;BrassiToL/Luke Nikolov;287186-1;3048749;EUROPE;Pyrenees, WC. Alps;perennial;temperate;H;NA;NA;NA;Y
SRR8528354;Matthiola incana;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Matthiola;incana;BrassiToL/Luke Nikolov;286910-1;5377378;EUROPE;Spain to Greece;subshrub or shrub;temperate;W;ornamental;Brompton stock, common stock, gilliflower, gillyflower, hoary stock, ten-weeks stock;Violier;Y
SRR8528356;Subularia aquatica;Brassicaceae;Brassicoideae;Heliophilodae (V);Subularieae;Subularia;aquatica;BrassiToL/Luke Nikolov;290258-1;5373421;EUROPE;Subarctic & Temp. Northern Hemisphere;annual;temperate;H;NA;awlwort, water awlwort;Priemkruid;Y
SRR8528357;Turritis glabra;Brassicaceae;Brassicoideae;Camelinodae (I);Turritideae;Turritis;glabra;BrassiToL/Luke Nikolov;290916-1;5376000;EUROPE;Temp. Northern Hemisphere to Trop. Mts.;biennial or perennial;temperate;H;NA;NA;Torenkruid;Y
SRR8528358;Veselskya griffithiana;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Veselskya;griffithiana;BrassiToL/Luke Nikolov;291003-1;3047959;ASIA-TEMPERATE;S. Afghanistan;annual;temperate;H;NA;NA;NA;Y
SRR8528359;Yinshania acutangula;Brassicaceae;Brassicoideae;Camelinodae (I);Yinshanieae;Yinshania;acutangula;BrassiToL/Luke Nikolov;944272-1;3051250;ASIA-TEMPERATE;N. & C. China;annual;temperate;H;NA;NA;NA;Y
SRR8528361;Sisymbrium aegyptiacum;Brassicaceae;Brassicoideae;Brassicodae (II);Sisymbrieae;Sisymbrium;aegyptiacum;BrassiToL/Luke Nikolov;77229520-1;3689728;AFRICA;N. Africa to N. Somalia and SW. Pakistan;subshrub;subtropical;H;NA;NA;NA;NA
SRR8528364;Cremolobus peruvianus;Brassicaceae;Brassicoideae;Heliophilodae (V);Cremolobeae;Cremolobus;peruvianus;BrassiToL/Luke Nikolov;281699-1;3041482;SOUTHERN AMERICA;W. South America;perennial;subtropical;W;NA;NA;NA;Y
SRR8528365;Iljinskaea planisiliqua;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Iljinskaea;planisiliqua;BrassiToL/Luke Nikolov;77219034-1;12386577;EUROPE;NW. Greece, SW. Bulgaria, C. Türkiye to Mongolia and Pakistan;annual;temperate;H;NA;NA;NA;Y
SRR8528370;Chorispora tenella;Brassicaceae;Brassicoideae;Hesperodae (III);Chorisporeae;Chorispora;tenella;BrassiToL/Luke Nikolov;281254-1;3044349;EUROPE;SE. & E. Europe to China;annual;temperate;H;NA;blue mustard, common blue mustard, crossflower;NA;Y
SRR8528372;Conringia orientalis;Brassicaceae;Brassicoideae;Brassicodae (II);Conringieae;Conringia;orientalis;BrassiToL/Luke Nikolov;60455373-2;3040913;EUROPE;C. Europe, C. Medit. to W. Pakistan;annual;temperate;H;NA;NA;Witte steenraket;Y
SRR8528373;Cochlearia officinalis;Brassicaceae;Brassicoideae;Unplaced;Cochlearieae;Cochlearia;officinalis;BrassiToL/Luke Nikolov;281469-1;5373276;EUROPE;N. & W. Europe;biennial or perennial;temperate;H;NA;NA;Echt lepelblad;Y
SRR8528376;Hemilophia rockii;Brassicaceae;Brassicoideae;Camelinodae (I);Hemilophieae;Hemilophia;rockii;BrassiToL/Luke Nikolov;284818-1;3047953;ASIA-TEMPERATE;China (SW. Sichuan, E. Yunnan);perennial or rhizomatous geophyte;subalpine or subarctic;H;NA;NA;NA;?
SRR8528379;Kernera saxatilis;Brassicaceae;Brassicoideae;Brassicodae (II);Kernereae;Kernera;saxatilis;BrassiToL/Luke Nikolov;941444-1;5374828;EUROPE;N. & E. Spain to Romania;perennial;temperate;H;NA;NA;NA;Y
SRR8528380;Isatis tinctoria;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Isatis;tinctoria;BrassiToL/Luke Nikolov;285873-1;5374118;EUROPE;SE. & E. Europe;biennial;temperate;H;crop;asp-of-Jerusalem, dyer's woad;Wede;Y
SRR8528381;Idahoa scapigera;Brassicaceae;Brassicoideae;Heliophilodae (V);Subularieae;Idahoa;scapigera;BrassiToL/Luke Nikolov;127640-2;3054087;NORTHERN AMERICA;SW. Canada to W. U.S.A.;annual;temperate;H;NA;flatpod, old-stem idahoa, scalepod, scapose scalepod;NA;Y
SRR8528382;Lunaria rediviva;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Lunaria;rediviva;BrassiToL/Luke Nikolov;286670-1;5373322;EUROPE;Europe;perennial;temperate;H;ornamental;Perennial honesty;Wilde judaspenning;Y
SRR8528384;Pseudoturritis turrita;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Pseudoturritis;turrita;BrassiToL/Luke Nikolov;77069422-1;3042086;EUROPE;C. & S. Europe to Caucasus, Algeria;biennial or perennial;temperate;H;NA;NA;Torenscheefkelk;Y
SRR8528385;Scoliaxon mexicanus;Brassicaceae;Brassicoideae;Heliophilodae (V);Asteae;Scoliaxon;mexicanus;BrassiToL/Luke Nikolov;288880-1;3048824;NORTHERN AMERICA;NE. Mexico;NA;desert or dry shrubland;H;NA;NA;NA;Y
SRR8528386;Bivonaea lutea;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Bivonaea;lutea;BrassiToL/Luke Nikolov;279142-1;3051456;EUROPE;C. Medit.;annual;subtropical;H;NA;NA;NA;Y
SRR8528388;Raphanorhyncha crassa;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Raphanorhyncha;crassa;BrassiToL/Luke Nikolov;217824-2;3688146;NORTHERN AMERICA;Mexico (Chihuahua);NA;desert or dry shrubland;H;NA;NA;NA;Y
SRR8528389;Hurkaea josiae;Brassicaceae;Brassicoideae;Brassicodae (II);Fourraeeae;Hurkaea;josiae;BrassiToL/Luke Nikolov;278315-1;12296494;AFRICA;Morocco;NA;temperate;H;NA;NA;NA;NA
SRR8528391;Andrzeiowskia cardamine;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Andrzeiowskia;cardamine;BrassiToL/Luke Nikolov;277897-1;3048803;EUROPE;Bulgaria to W. Caucasus and W. Syria;annual;temperate;H;NA;NA;NA;Y
SRR8528394;Asta schaffneri;Brassicaceae;Brassicoideae;Heliophilodae (V);Asteae;Asta;schaffneri;BrassiToL/Luke Nikolov;22986-2;5373311;NORTHERN AMERICA;Mexico (San Luis Potos√≠);subshrub;subtropical;H;NA;NA;NA;NA
SRR8528397;Schizopetalon walkeri;Brassicaceae;Brassicoideae;Heliophilodae (V);Schizopetaleae;Schizopetalon;walkeri;BrassiToL/Luke Nikolov;30235735-2;3050337;SOUTHERN AMERICA;NC. Chile;annual;subtropical;H;NA;NA;NA;Y
SRR8528398;Sisymbrium leucocladum;Brassicaceae;Brassicoideae;Brassicodae (II);Sisymbrieae;Sisymbrium;leucocladum;BrassiToL/Luke Nikolov;77176542-1;11016857;ASIA-TEMPERATE;Iran;perennial;subtropical;H;NA;NA;NA;NA
SRR8528399;Ricotia cretica;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Ricotia;cretica;BrassiToL/Luke Nikolov;288591-1;3040558;EUROPE;Kriti;annual;subtropical;H;NA;NA;NA;NA
SRR8528400;Petrocallis pyrenaica;Brassicaceae;Brassicoideae;Brassicodae (II);Kernereae;Petrocallis;pyrenaica;BrassiToL/Luke Nikolov;1198948-2;3050750;EUROPE;Pyrenees, Alps, Carpathians;subshrub;subalpine or subarctic;H;NA;NA;NA;Y
