order;level;code;WGSRPD_name;;
586;L3;BLZ;Belize;;
587;L3;COS;Costa Rica;;
588;L3;CPI;Central American Pacific Is.;;
589;L4;CPI-CL;Clipperton I.;;
590;L4;CPI-CO;Cocos I.;;
591;L4;CPI-MA;Malpelo I.;;
592;L3;ELS;El Salvador;;
593;L3;GUA;Guatemala;;
594;L3;HON;Honduras;;
595;L3;NIC;Nicaragua;;
596;L3;PAN;Panama;;
597;L2;81;Caribbean;;
598;L3;ARU;Aruba;;
599;L3;BAH;Bahamas;;
600;L3;BER;Bermuda;;
601;L3;CAY;Cayman Is.;;
602;L3;CUB;Cuba;;
603;L3;DOM;Dominican Republic;;
604;L3;HAI;Haiti;;
605;L4;HAI-HA;Haiti;;
606;L4;HAI-NI;Navassa I.;;
607;L3;JAM;Jamaica;;
608;L3;LEE;Leeward Is.;;
609;L4;LEE-AB;Antigua-Barbuda;;
610;L4;LEE-AG;Anguilla;;
611;L4;LEE-AV;Aves I.;;
612;L4;LEE-BV;British Virgin Is.;;
613;L4;LEE-GU;Guadeloupe;;
614;L4;LEE-MO;Montserrat;;
615;L4;LEE-NL;Netherlands Leeward Is.;;
616;L4;LEE-SK;St. Kitts-Nevis;;
617;L4;LEE-SM;St. Martin-St. Barthelemy;;
618;L4;LEE-VI;Virgin Is.;;
619;L3;NLA;Netherlands Antilles;;
620;L4;NLA-BO;Bonaire;;
621;L4;NLA-CU;Curaçao;;
622;L3;PUE;Puerto Rico;;
623;L3;SWC;Southwest Caribbean;;
624;L4;SWC-CC;Colombian Caribbean Is.;;
625;L4;SWC-HC;Honduran Caribbean Is.;;
626;L4;SWC-NC;Nicaraguan Caribbean Is.;;
627;L3;TCI;Turks-Caicos Is.;;
628;L3;TRT;Trinidad-Tobago;;
629;L3;VNA;Venezuelan Antilles;;
630;L3;WIN;Windward Is.;;
631;L4;WIN-BA;Barbados;;
632;L4;WIN-DO;Dominica;;
633;L4;WIN-GR;Grenada;;
634;L4;WIN-MA;Martinique;;
635;L4;WIN-SL;St. Lucia;;
636;L4;WIN-SV;St. Vincent;;
637;L2;82;Northern South America;;
638;L3;FRG;French Guiana;;
639;L3;GUY;Guyana;;
640;L3;SUR;Suriname;;
641;L3;VEN;Venezuela;;
642;L2;83;Western South America;;
643;L3;BOL;Bolivia;;
644;L3;CLM;Colombia;;
645;L3;ECU;Ecuador;;
646;L3;GAL;Galápagos;;
647;L3;PER;Peru;;
648;L2;84;Brazil;;
649;L3;BZC;Brazil West-Central;;
650;L4;BZC-DF;Brasilia Distrito Federal;;
651;L4;BZC-GO;Goias;;
652;L4;BZC-MS;Mato Grosso do Sul;;
653;L4;BZC-MT;Mato Grosso;;
654;L3;BZE;Brazil Northeast;;
655;L4;BZE-AL;Alagoas;;
656;L4;BZE-BA;Bahia;;
657;L4;BZE-CE;Ceara;;
658;L4;BZE-FN;Fernando de Noronha;;
659;L4;BZE-MA;Maranhao;;
660;L4;BZE-PB;Paraiba;;
661;L4;BZE-PE;Pernambuco;;
662;L4;BZE-PI;Piaui;;
663;L4;BZE-RN;Rio Grande do Norte;;
664;L4;BZE-SE;Sergipe;;
665;L3;BZL;Brazil Southeast;;
666;L4;BZL-ES;Espirito Santo;;
667;L4;BZL-MG;Minas Gerais;;
