SAMPLE;SPECIES_NAME_PRINT;AUTHOR;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_id;gbif_usageKey;iNaturalist_id;WCVP_continent;WCVP_geographic_area;WCVP_WGSRPD_LEVEL_1_native;WCVP_WGSRPD_LEVEL_1_introduced;WCVP_WGSRPD_LEVEL_1_extinct;WCVP_WGSRPD_LEVEL_2_native;WCVP_WGSRPD_LEVEL_2_introduced;WCVP_WGSRPD_LEVEL_2_extinct;WCVP_WGSRPD_LEVEL_3_native;WCVP_WGSRPD_LEVEL_3_introduced;WCVP_WGSRPD_LEVEL_3_extinct;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;IUCN_redlistCategory;NCBI_SRA_id
SRR8528388;Raphanorhyncha crassa;Rollins;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Raphanorhyncha;crassa;BrassiToL/Luke Nikolov;217824-2;3688146;1228650;NORTHERN AMERICA;Mexico (Chihuahua);7;NA;NA;79;NA;NA;MXE;NA;NA;NA;desert or dry shrubland;H;NA;NA;NA;NA;SRR8528388
S1541;Ornithocarpa fimbriata;Rose;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Ornithocarpa;fimbriata;BrassiWood/Kasper Hendriks;176490-2;3041455;1228545;NORTHERN AMERICA;Mexico (Jalisco, Michoacán);7;NA;NA;79;NA;NA;MXS;NA;NA;NA;subtropical;H;NA;NA;NA;NA;SRR22519592
SRR8528350;Murbeckiella pinnatifida;Rothm.;Brassicaceae;Brassicoideae;Camelinodae (I);Oreophytoneae;Murbeckiella;pinnatifida;BrassiToL/Luke Nikolov;287186-1;3048749;515257;EUROPE;Pyrenees, WC. Alps;1;NA;NA;11, 12, 13;NA;NA;FRA, ITA, SPA, SWI;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR8528350
S0381;Pseudovesicaria digitata;Rupr.;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Pseudovesicaria;digitata;BrassiWood/Kasper Hendriks;288235-1;3042391;864917;EUROPE;NW. Balkan Pen., Caucasus;1, 3;NA;NA;13, 33;NA;NA;NCS, TCS, YUG;NA;NA;NA;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519569
S0286;Chlorocrambe hastata;Rydb.;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Chlorocrambe;hastata;BrassiWood/Kasper Hendriks;56940-2;3043203;160533;NORTHERN AMERICA;Oregon to Utah;7;NA;NA;73, 76;NA;NA;IDA, ORE, UTA;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519653
S1369;Boechera yorkii;S. Boyd;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Boechera;yorkii;BrassiWood/Kasper Hendriks;60437310-2;3043450;75831;NORTHERN AMERICA;California (Last Chance Mts.);7;NA;NA;76;NA;NA;CAL;NA;NA;perennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519681
S1278;Sphaerocardamum nesliiforme;S. Schauer;Brassicaceae;Brassicoideae;Camelinodae (I);Halimolobeae;Sphaerocardamum;nesliiforme;BrassiWood/Kasper Hendriks;289978-1;3041713;1439985;NORTHERN AMERICA;Mexico (Querétaro, Hidalgo);7;NA;NA;79;NA;NA;MXE;NA;NA;NA;subtropical;H;NA;NA;NA;NA;SRR22519383
S1093;Aimara rollinsii;Salariato & Al-Shehbaz;Brassicaceae;Brassicoideae;Heliophilodae (V);Cremolobeae;Aimara;rollinsii;BrassiWood/Kasper Hendriks;77136045-1;10873249;902778;SOUTHERN AMERICA;Chile (Antofagasta);8;NA;NA;85;NA;NA;CLN;NA;NA;subshrub;subalpine or subarctic;W;NA;NA;NA;NA;SRR22519408
S1459;Zuloagocardamum jujuyensis;Salariato & Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Zuloagocardamum;jujuyensis;BrassiWood/Kasper Hendriks;77143082-1;9197548;904113;SOUTHERN AMERICA;Argentina (Jujuy);8;NA;NA;85;NA;NA;AGW;NA;NA;NA;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519619
S1045;Alshehbazia friesii;Salariato, Zuolaga & Al-Shehbaz;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Alshehbazia;friesii;BrassiWood/Kasper Hendriks;77222429-1;12315182;902651;SOUTHERN AMERICA;S. Peru to NW. Argentina;8;NA;NA;83, 85;NA;NA;AGW, BOL, CLN, PER;NA;NA;subshrub;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519422
