SAMPLE;SPECIES_NAME_PRINT;AUTHOR;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_id;gbif_usageKey;iNaturalist_id;WCVP_continent;WCVP_geographic_area;WCVP_WGSRPD_LEVEL_1_native;WCVP_WGSRPD_LEVEL_1_introduced;WCVP_WGSRPD_LEVEL_1_extinct;WCVP_WGSRPD_LEVEL_2_native;WCVP_WGSRPD_LEVEL_2_introduced;WCVP_WGSRPD_LEVEL_2_extinct;WCVP_WGSRPD_LEVEL_3_native;WCVP_WGSRPD_LEVEL_3_introduced;WCVP_WGSRPD_LEVEL_3_extinct;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;IUCN_redlistCategory;NCBI_SRA_id
S1221;Guenthera souliei;;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Guenthera;souliei;BrassiWood/Kasper Hendriks;279530-1;3053638;NA;EUROPE;NW. Africa;1, 2;NA;NA;13, 20;NA;NA;ALG, MOR, SIC, TUN;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519632
S0275;Synthlipsis greggii;A. Gray;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Synthlipsis;greggii;BrassiWood/Kasper Hendriks;290269-1;5373318;169503;NORTHERN AMERICA;Texas to NE. Mexico;7;NA;NA;77, 79;NA;NA;MXE, TEX;NA;NA;annual, biennial or perennial;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519468
S0383;Physaria didymocarpa;A. Gray;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Physaria;didymocarpa;BrassiWood/Kasper Hendriks;30186061-2;3049104;166822;NORTHERN AMERICA;W. Canada to NW. U.S.A.;7;NA;NA;71, 73;NA;NA;ABT, BRC, IDA, MNT, WAS, WYO;NA;NA;perennial;temperate;H;NA;common twinpod, double twinpod;NA;NA;SRR22519374
S0727;Dryopetalon runcinatum;A. Gray;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Dryopetalon;runcinatum;BrassiWood/Kasper Hendriks;30220416-2;3049367;162107;NORTHERN AMERICA;Arizona to Texas and N. Mexico;7;NA;NA;76, 77, 79;NA;NA;ARI, MXE, MXN, NWM, TEX;NA;NA;annual or biennial;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519436
S1227;Boechera holboellii;A. L�ve & D. L�ve;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Boechera;holboellii;BrassiWood/Kasper Hendriks;1137585-2;8186428;64064;NORTHERN AMERICA;Greenland;7;NA;NA;70;NA;NA;GNL;NA;NA;biennial or perennial;subalpine or subarctic;H;NA;holboell's rockcress;NA;NA;SRR22519630
SRR8528381;Idahoa scapigera;A. Nelson & J.F. Macbr.;Brassicaceae;Brassicoideae;Heliophilodae (V);Subularieae;Idahoa;scapigera;BrassiToL/Luke Nikolov;127640-2;3054087;77486;NORTHERN AMERICA;SW. Canada to W. U.S.A.;7;NA;NA;71, 73, 76;NA;NA;BRC, CAL, IDA, MNT, NEV, ORE, WAS;NA;NA;annual;temperate;H;NA;flatpod, old-stem idahoa, scalepod, scapose scalepod;NA;NA;SRR8528381
S0717;Stevenia alyssoides;Adams ex Fisch.;Brassicaceae;Brassicoideae;Arabodae (IV);Stevenieae;Stevenia;alyssoides;BrassiWood/Kasper Hendriks;290095-1;5373607;933468;ASIA-TEMPERATE;S. & E. Siberia to Mongolia;3;NA;NA;30, 37;NA;NA;BRY, IRK, MON, YAK;NA;NA;annual or biennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519444
S0718;Catolobus pendulus;Al-Shehbaz;Brassicaceae;Brassicoideae;Camelinodae (I);Camelineae;Catolobus;pendulus;BrassiWood/Kasper Hendriks;77069420-1;3688630;897421;EUROPE;E. Europe to Japan;1, 3;NA;NA;14, 30, 31, 32, 36, 37, 38;NA;NA;ALT, AMU, BLR, BRY, CHC, CHI, CHM, CHN, CHQ, CHS, CHT, CHX, CTA, IRK, JAP, KAM, KAZ, KGZ, KHA, KOR, KRA, KUR, MAG, MON, PRM, RUC, RUE, RUN, RUS, SAK, TVA, UKR, WSB, YAK;NA;NA;biennial;temperate;H;NA;NA;NA;NA;SRR22519443
S0765;Baimashania pulvinata;Al-Shehbaz;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Baimashania;pulvinata;BrassiWood/Kasper Hendriks;1018335-1;3046684;792386;ASIA-TEMPERATE;China (NW. Yunnan: Baima Shan);3;NA;NA;36;NA;NA;CHC;NA;NA;perennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519328
S1043;Dactylocardamum imbricatifolium;Al-Shehbaz;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Dactylocardamum;imbricatifolium;BrassiWood/Kasper Hendriks;275636-2;3042986;792397;SOUTHERN AMERICA;Peru (Cordillera Blanca);8;NA;NA;83;NA;NA;PER;NA;NA;subshrub;montane tropical;W;NA;NA;NA;Least Concern;SRR22519523
S1072;Hesperidanthus argillaceus;Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Hesperidanthus;argillaceus;BrassiWood/Kasper Hendriks;60440667-2;3047777;359705;NORTHERN AMERICA;Utah;7;NA;NA;76;NA;NA;UTA;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519414
S1096;Mostacillastrum pectinifolium;Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Mostacillastrum;pectinifolium;BrassiWood/Kasper Hendriks;77086134-1;3041210;932968;SOUTHERN AMERICA;Peru to N. Chile;8;NA;NA;83, 85;NA;NA;CLN, PER;NA;NA;perennial;montane tropical;H;NA;NA;NA;NA;SRR22519406
S1098;Neuontobotrys linearifolia;Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Neuontobotrys;linearifolia;BrassiWood/Kasper Hendriks;60436425-2;3046731;1129347;SOUTHERN AMERICA;N. Chile;8;NA;NA;85;NA;NA;CLN;NA;NA;perennial;desert or dry shrubland;W;NA;NA;NA;NA;SRR22519404
S1113;Draba funckii;Al-Shehbaz;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Draba;funckii;BrassiWood/Kasper Hendriks;276050-2;3049433;NA;SOUTHERN AMERICA;NW. Venezuela;8;NA;NA;82;NA;NA;VEN;NA;NA;subshrub;montane tropical;W;NA;NA;NA;NA;SRR22519518
S1117;Weberbauera densifolia;Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Weberbauera;densifolia;BrassiWood/Kasper Hendriks;287015-2;3047745;792566;SOUTHERN AMERICA;Bolivia to Argentina (Catamarca);8;NA;NA;83, 85;NA;NA;AGW, BOL;NA;NA;NA;subtropical;H;NA;NA;NA;NA;SRR22519515
S1121;Draba funckii;Al-Shehbaz;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Draba;funckii;BrassiWood/Kasper Hendriks;276050-2;3049433;NA;SOUTHERN AMERICA;NW. Venezuela;8;NA;NA;82;NA;NA;VEN;NA;NA;subshrub;montane tropical;W;NA;NA;NA;NA;SRR22519510
S1181;Lepidium aretioides;Al-Shehbaz;Brassicaceae;Brassicoideae;Camelinodae (I);Lepidieae;Lepidium;aretioides;BrassiWood/Kasper Hendriks;77219362-1;12383331;1490242;ASIA-TEMPERATE;E. Afghanistan;3;NA;NA;34;NA;NA;AFG;NA;NA;subshrub;subtropical;W;NA;NA;NA;NA;SRR22519501
S1428;Marcus-kochia littorea;Al-Shehbaz;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Marcus-kochia;littorea;BrassiWood/Kasper Hendriks;77148311-1;11046740;902550;EUROPE;Canary Is. to W. & S. Medit.;1, 2;NA;NA;12, 13, 20, 21;NA;NA;ALG, CNY, FRA, ITA, MOR, POR, SPA;NA;NA;subshrub;subtropical;H;NA;NA;NA;NA;SRR22519476
SRR8528384;Pseudoturritis turrita;Al-Shehbaz;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Pseudoturritis;turrita;BrassiToL/Luke Nikolov;77069422-1;3042086;334304;EUROPE;C. & S. Europe to Caucasus, Algeria;1, 2, 3;1;NA;11, 12, 13, 14, 20, 33, 34;10, 11;NA;ALB, ALG, AUT, BUL, COR, CZE, FRA, GER, GRC, HUN, ITA, KRY, LBS, NCS, PAL, ROM, SIC, SPA, SWI, TUE, UKR, YUG;BGM, GRB;NA;biennial or perennial;temperate;H;NA;NA;torenscheefkelk;NA;SRR8528384
S1279;Exhalimolobos palmeri;Al-Shehbaz & C.D. Bailey;Brassicaceae;Brassicoideae;Camelinodae (I);Halimolobeae;Exhalimolobos;palmeri;BrassiWood/Kasper Hendriks;60445056-2;3041172;1200740;NORTHERN AMERICA;NE. Mexico (to Jalisco);7;NA;NA;79;NA;NA;MXE, MXS;NA;NA;biennial;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519382
S0289;Rudolf-kamelinia korolkowii;Al-Shehbaz & D.A. German;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Rudolf-kamelinia;korolkowii;BrassiWood/Kasper Hendriks;77160338-1;10886361;903314;ASIA-TEMPERATE;Afghanistan to Mongolia and China (Gansu);3;NA;NA;32, 34, 36, 37;NA;NA;AFG, CHN, CHQ, CHT, CHX, KAZ, KGZ, MON, TKM, TZK;NA;NA;annual, biennial or perennial;temperate;H;NA;NA;NA;NA;SRR22519420
S1368;Anzhengxia yechengnica;Al-Shehbaz & D.A. German;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Anzhengxia;yechengnica;BrassiWood/Kasper Hendriks;77160334-1;11023434;902559;ASIA-TEMPERATE;Xinjiang;3;NA;NA;36;NA;NA;CHX;NA;NA;annual or perennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519682
S1475;Metashangrilaia forrestii;Al-Shehbaz & D.A. German;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Metashangrilaia;forrestii;BrassiWood/Kasper Hendriks;77160336-1;10843746;902562;ASIA-TEMPERATE;Bhutan to China (Sichuan, Yunnan);3, 4;NA;NA;36, 40;NA;NA;CHC, CHT, EHM;NA;NA;perennial or subshrub;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519609
S1116;Lemphoria humistrata;Al-Shehbaz & Lysak;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Lemphoria;humistrata;BrassiWood/Kasper Hendriks;281894-1;12366755;1451404;AUSTRALASIA;C. New South Wales;5;NA;NA;50;NA;NA;NSW;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519516
S0412;Ianhedgea minutiflora;Al-Shehbaz & O'Kane;Brassicaceae;Brassicoideae;Camelinodae (I);Descurainieae;Ianhedgea;minutiflora;BrassiWood/Kasper Hendriks;1010323-1;3051301;903166;ASIA-TEMPERATE;Iran to C. Asia to Tibet;3, 4;NA;NA;32, 34, 36, 40;NA;NA;AFG, CHT, IRN, KGZ, PAK, TKM, TZK, UZB;NA;NA;annual;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519364
S1050;Phravenia viereckii;Al-Shehbaz & S.I. Warwick;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Phravenia;viereckii;BrassiWood/Kasper Hendriks;77114376-1;8074535;1228363;NORTHERN AMERICA;S. Texas to NE. Mexico (to Puebla);7;NA;NA;77, 79;NA;NA;MXC, MXE, TEX;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519419
8009952;Pseudodraba hystrix;Al-Shehbaz, D.A. German & M.A. Koch;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Pseudodraba;hystrix;Heidelberg/Marcus Koch;77111176-1;8314831;1451510;ASIA-TEMPERATE;Afghanistan to W. Pakistan;3, 4;NA;NA;34, 40;NA;NA;AFG, PAK;NA;NA;subshrub;temperate;H;NA;NA;NA;NA;SRR22519531
S0836;Tomostima reptans;Al-Shehbaz, M.A. Koch & Jordon-Thaden;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Tomostima;reptans;BrassiWood/Kasper Hendriks;77122976-1;7839918;1238738;NORTHERN AMERICA;N. America;7;NA;NA;71, 72, 73, 74, 75, 76, 77, 78;NA;NA;ABT, ALA, ARI, ARK, BRC, CAL, CNT, COL, GEO, IDA, ILL, INI, IOW, KAN, LOU, MAN, MAS, MIC, MIN, MNT, MSO, NCA, NDA, NEB, NEV, NWJ, NWM, NWY, OHI, OKL, ONT, ORE, PEN, RHO, SAS, SCA, SDA, TEN, TEX, UTA, WAS, WIS, WYO;NA;NA;annual or biennial;temperate;H;NA;carolina draba, carolina whitlowgrass, creeping draba, creeping whitlowgrass, white whitlowgrass;NA;NA;SRR22519663
SRR8528389;Hurkaea josiae;Al-Shehbaz, M.A. Koch, R. Karl & D.A. German;Brassicaceae;Brassicoideae;Brassicodae (II);Fourraeeae;Hurkaea;josiae;BrassiToL/Luke Nikolov;278315-1;12296494;NA;AFRICA;Morocco;2;NA;NA;20;NA;NA;MOR;NA;NA;NA;temperate;H;NA;NA;NA;NA;SRR8528389
S0721;Pseudoarabidopsis toxophylla;Al-Shehbaz, O'Kane & R.A. Price;Brassicaceae;Brassicoideae;Unplaced;Unplaced;Pseudoarabidopsis;toxophylla;BrassiWood/Kasper Hendriks;1009844-1;3044557;515260;EUROPE;Krym to SW. Siberia;1, 3;NA;NA;14, 30, 32;NA;NA;ALT, KAZ, KRY, RUE, RUS, UKR, WSB;NA;NA;biennial or perennial;temperate;H;NA;NA;NA;NA;SRR22519441
S0809;Olimarabidopsis pumila;Al-Shehbaz, O'Kane & R.A. Price;Brassicaceae;Brassicoideae;Camelinodae (I);Alyssopsideae;Olimarabidopsis;pumila;BrassiWood/Kasper Hendriks;1009840-1;3042459;515262;EUROPE;Krym, Sinai to Mongolia and China (Gansu);1, 3, 4;NA;NA;14, 32, 33, 34, 35, 36, 37, 40;NA;NA;AFG, CHN, CHX, IRN, IRQ, KAZ, KGZ, KRY, LBS, MON, NCS, OMA, PAK, PAL, RUS, SIN, TCS, TKM, TUR, TZK, UZB, WHM;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519667
SRR8528343;Crucihimalaya himalaica;Al-Shehbaz, O'Kane & R.A. Price;Brassicaceae;Brassicoideae;Camelinodae (I);Crucihimalayeae;Crucihimalaya;himalaica;BrassiToL/Luke Nikolov;1009835-1;3041702;904072;ASIA-TEMPERATE;Afghanistan to China (Sichuan, Yunnan);3, 4;NA;NA;34, 36, 40;NA;NA;AFG, CHC, CHT, EHM, NEP, PAK, WHM;NA;NA;annual, biennial or perennial;temperate;H;NA;NA;NA;NA;SRR8528343
SRR8528365;Iljinskaea planisiliqua;Al-Shehbaz, �z�do_ru & D.A. German;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Iljinskaea;planisiliqua;BrassiToL/Luke Nikolov;77219034-1;12386577;NA;EUROPE;NW. Greece, SW. Bulgaria, C. Türkiye to Mongolia and Pakistan;1, 3, 4;NA;NA;13, 32, 33, 34, 36, 37, 40;NA;NA;AFG, BUL, CHT, CHX, GRC, IRN, KAZ, KGZ, MON, NCS, PAK, TCS, TKM, TZK, UZB, WHM;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR8528365
S0989;Eudema calycina;Al-Shehbaz, Salariato, A. Cano & Zuloaga;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Eudema;calycina;BrassiWood/Kasper Hendriks;36284-2;0;NA;SOUTHERN AMERICA;Peru to NW. Argentina;8;NA;NA;83, 85;NA;NA;AGW, BOL, PER;NA;NA;perennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519532
8000070;Arabis scabra;All.;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Arabis;scabra;Heidelberg/Marcus Koch;278599-1;5374852;371913;EUROPE;W. Europe to SW. Alps;1;NA;NA;10, 11, 12;NA;NA;FRA, GRB, SPA, SWI;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519568
S1421;Rapistrum rugosum;All.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Rapistrum;rugosum;BrassiWood/Kasper Hendriks;1061021-2;5373368;78835;EUROPE;Macaronesia, Medit. to C. Asia and Iran, NE. Trop. Africa to Arabian Pen.;1, 2, 3;1, 2, 3, 4, 5, 6, 7, 8;NA;12, 13, 14, 20, 21, 24, 32, 33, 34, 35;10, 11, 13, 14, 27, 28, 31, 38, 40, 50, 61, 72, 73, 74, 75, 76, 77, 78, 83, 84, 85;NA;ALB, ALG, AZO, BAL, BUL, CNY, COR, CYP, EAI, EGY, ERI, ETH, FRA, GRC, IRN, IRQ, ITA, KGZ, KRI, KRY, LBS, LBY, MDR, MOR, NCS, PAL, POR, SAR, SAU, SIC, SPA, TCS, TKM, TUE, TUN, TUR, TZK, UZB, YEM, YUG;AGE, AGS, AGW, AUT, BGM, BLR, BLT, BOL, BZL, BZS, CAL, CLC, CLM, CLN, CLS, CPP, CZE, EAS, GER, GRB, HUN, ILL, INI, IRE, KOR, LOU, MAS, NAM, NAT, NET, NEV, NFK, NOR, NSW, NWJ, NWM, NWY, ONT, ORE, PAK, PAR, PEN, POL, PRM, QLD, QUE, ROM, RUC, RUW, SOA, STH, SWE, SWI, TAS, TEX, TVL, UKR, URU, VIC, WAS, WHM, WIS;NA;annual;temperate;H;NA;annual bastard cabbage, bastard cabbage, grenade, red mustard, turnip weed;bolletjesraket;NA;SRR22519479
S0642;Notoceras bicorne;Amo;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Notoceras;bicorne;BrassiWood/Kasper Hendriks;287811-1;5374288;496066;EUROPE;Canary Is., Mauritania, SE. Spain, N. Africa to W. Himalaya and Arabian Pen.;1, 2, 3, 4;NA;NA;12, 20, 21, 22, 24, 34, 35, 40;NA;NA;AFG, ALG, CNY, EGY, GST, IRN, IRQ, KUW, LBS, LBY, MOR, MTN, OMA, PAK, PAL, SAU, SIN, SPA, SUD, TUN, WHM, WSA, YEM;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR13271432
S0331;Morisia monanthos;Asch.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Morisia;monanthos;BrassiWood/Kasper Hendriks;287179-1;5375716;514208;EUROPE;Corse, Sardegna;1;NA;NA;12;NA;NA;COR, SAR;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519580
S0654;Eremobium aegyptiacum;Asch.;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Eremobium;aegyptiacum;BrassiWood/Kasper Hendriks;20009473-1;3051168;532593;AFRICA;E. Medit. to Arabian Pen., S. Iran to SW. Pakistan;2, 3, 4;NA;NA;20, 22, 24, 34, 35, 40;NA;NA;ALG, CHA, EGY, GST, IRN, IRQ, LBY, MLI, MOR, MTN, NGR, OMA, PAK, PAL, SAU, SIN, TUN, WSA, YEM;NA;NA;annual or subshrub;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519560
S1077;Ricotia aucheri;B.L. Burtt;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Ricotia;aucheri;BrassiWood/Kasper Hendriks;288588-1;3040559;1453401;ASIA-TEMPERATE;E. Türkiye to Transcaucasus;3;NA;NA;33, 34;NA;NA;TCS, TUR;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519412
S0655;Lachnocapsa spathulata;Balf.f.;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Lachnocapsa;spathulata;BrassiWood/Kasper Hendriks;285967-1;3046689;439448;AFRICA;Socotra;2;NA;NA;24;NA;NA;SOC;NA;NA;subshrub;desert or dry shrubland;W;NA;NA;NA;Vulnerable;SRR22519559
S0403;Maresia nana;Batt.;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Maresia;nana;BrassiWood/Kasper Hendriks;286825-1;5377766;492913;EUROPE;Medit. to Afghanistan;1, 2, 3;NA;NA;12, 13, 20, 33, 34;NA;NA;AFG, ALB, ALG, BAL, BUL, COR, CYP, EAI, EGY, FRA, GRC, IRN, IRQ, ITA, KRI, LBS, LBY, MOR, PAL, SIC, SIN, SPA, TCS, TUE, TUN, TUR, YUG;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519367
S0726;Eremophyton chevallieri;B�g.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Eremophyton;chevallieri;BrassiWood/Kasper Hendriks;283257-1;3041452;1330479;AFRICA;N. Sahara;2;NA;NA;20;NA;NA;ALG, LBY, MOR;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519438
S0672;Rorippa sylvestris;Besser;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Rorippa;sylvestris;BrassiWood/Kasper Hendriks;288692-1;3053376;167973;EUROPE;Europe to Siberia and W. Himalaya;1, 3, 4;1, 2, 3, 5, 7, 8;NA;10, 11, 12, 13, 14, 30, 32, 33, 34, 36, 40;10, 20, 30, 31, 36, 38, 50, 71, 72, 73, 74, 75, 76, 77, 78, 85;NA;ALB, ALT, AUT, BGM, BLR, BLT, BUL, CHX, COR, CZE, DEN, FRA, GER, GRC, HUN, IRE, IRN, ITA, KAZ, KGZ, KRA, KRI, KRY, NCS, NET, POL, POR, ROM, RUC, RUE, RUN, RUS, RUW, SAR, SIC, SPA, SWE, SWI, TCS, TUE, TUR, TZK, UKR, UZB, WHM, WSB, YUG;ABT, AGS, ALA, ALG, ARK, BRC, BRY, CHM, CLC, CLS, CNT, COL, DEL, FIN, ICE, IDA, ILL, INI, IOW, KAM, KAN, KOR, KTY, LOU, MAI, MAS, MIC, MIN, MNT, MRY, MSI, MSO, NBR, NCA, NDA, NFL, NOR, NWH, NWJ, NWM, NWY, OHI, ONT, ORE, PEI, PEN, PRM, QUE, RHO, SAK, TAI, TAS, TEN, UTA, VER, VRG, WAS, WDC, WIS, WVA;NA;perennial or helophyte;temperate;H;NA;creeping yellowcress;akkerkers;Least Concern;SRR13271433
S1220;Brassica villosa;Biv.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Brassica;villosa;BrassiWood/Kasper Hendriks;279567-1;3042918;189920;EUROPE;NW. Sicilia;1;NA;NA;13;NA;NA;SIC;NA;NA;subshrub;subtropical;H;NA;NA;NA;Near Threatened;SRR22519633
S0288;Clastopus vestitus;Boiss.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Clastopus;vestitus;BrassiWood/Kasper Hendriks;281298-1;5375154;NA;ASIA-TEMPERATE;Iran;3;NA;NA;34;NA;NA;IRN;NA;NA;subshrub;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519530
S0292;Parlatoria cakiloidea;Boiss.;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Parlatoria;cakiloidea;BrassiWood/Kasper Hendriks;287934-1;5373231;902696;ASIA-TEMPERATE;SE. Türkiye to W. Iran;3;NA;NA;34;NA;NA;IRN, IRQ, LBS, TUR;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519409
S0385;Nasturtiopsis coronopifolia;Boiss.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Nasturtiopsis;coronopifolia;BrassiWood/Kasper Hendriks;287291-1;3047752;910100;AFRICA;N. Africa to Israel;2, 3;NA;NA;20, 34;NA;NA;ALG, EGY, LBY, MOR, PAL, SIN, TUN;NA;NA;NA;subtropical;H;NA;NA;NA;NA;SRR22519372
S0744;Graellsia saxifragifolia;Boiss.;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Graellsia;saxifragifolia;BrassiWood/Kasper Hendriks;284524-1;5376207;902682;ASIA-TEMPERATE;Iran to Turkmenistan and Afghanistan;3;NA;NA;32, 34;NA;NA;AFG, IRN, TKM;NA;NA;perennial or subshrub;temperate;H;NA;NA;NA;NA;SRR22519348
S0766;Didymophysa aucheri;Boiss.;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Didymophysa;aucheri;BrassiWood/Kasper Hendriks;282121-1;5375291;868985;ASIA-TEMPERATE;E. Türkiye to Caucasus and Iran;3;NA;NA;33, 34;NA;NA;IRN, IRQ, NCS, TCS, TUR;NA;NA;subshrub;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519327
S0851;Diplotaxis harra;Boiss.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Diplotaxis;harra;BrassiWood/Kasper Hendriks;282186-1;5376405;347751;EUROPE;N. Africa to N. Somalia and SW. Pakistan;1, 2, 3, 4;NA;NA;12, 13, 20, 24, 34, 35, 40;NA;NA;AFG, ALG, DJI, EGY, GST, IRN, IRQ, KUW, LBS, LBY, MOR, OMA, PAK, PAL, SAU, SIC, SIN, SOM, SPA, TUN, YEM;NA;NA;subshrub;subtropical;W;NA;NA;NA;NA;SRR22519662
S1114;Diceratella floccosa;Boiss.;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Diceratella;floccosa;BrassiWood/Kasper Hendriks;282093-1;5374697;902492;ASIA-TEMPERATE;S. Iran to SW. Pakistan;3, 4;NA;NA;34, 40;NA;NA;IRN, PAK;NA;NA;subshrub;subtropical;W;NA;NA;NA;NA;SRR22519517
S1223;Aethionema stenopterum;Boiss.;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;stenopterum;BrassiWood/Kasper Hendriks;277243-1;3051054;1145632;ASIA-TEMPERATE;Iran;3;NA;NA;34;NA;NA;IRN;NA;NA;subshrub;temperate;H;NA;NA;NA;NA;SRR22519631
S1230;Strigosella cabulica;Boiss.;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Strigosella;cabulica;BrassiWood/Kasper Hendriks;290203-1;5373123;NA;ASIA-TEMPERATE;Afghanistan to Pakistan;3, 4;NA;NA;34, 40;NA;NA;AFG, PAK;NA;NA;annual or biennial;temperate;H;NA;NA;NA;NA;SRR22519628
S1318;Chrysochamela velutina;Boiss.;Brassicaceae;Brassicoideae;Camelinodae (I);Camelineae;Chrysochamela;velutina;BrassiWood/Kasper Hendriks;281281-1;3044702;1117558;ASIA-TEMPERATE;E. Türkiye to Syria;3;NA;NA;34;NA;NA;LBS, TUR;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519378
S1498;Arabis montbretiana;Boiss.;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Arabis;montbretiana;BrassiWood/Kasper Hendriks;278411-1;5374844;1459205;ASIA-TEMPERATE;E. Türkiye to C. Asia and Afghanistan;3;NA;NA;32, 34;NA;NA;AFG, IRN, LBS, TUR, UZB;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519600
SRR8528338;Heldreichia bupleurifolia;Boiss.;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Heldreichia;bupleurifolia;BrassiToL/Luke Nikolov;284577-1;3041503;1249167;ASIA-TEMPERATE;C. & S. Türkiye to Israel;3;NA;NA;34;NA;NA;LBS, PAL, TUR;NA;NA;perennial or rhizomatous geophyte;temperate;H;NA;NA;NA;NA;SRR8528338
S1074;Ricotia sinuata;Boiss. & Heldr.;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Ricotia;sinuata;BrassiWood/Kasper Hendriks;288598-1;3040550;904411;ASIA-TEMPERATE;S. Türkiye to Syria;3;NA;NA;34;NA;NA;LBS, TUR;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519413
